Time,Score,TensionZ,AsymZ,DurScore,SuppScore,BPM,BlinkRate,Flags
03:27:58.376,1.23,-7.91,22.08,0.0,0.0,48,20,ASYMMETRY +22 | POSTURAL SHIFT
03:27:58.395,1.23,-8.52,21.44,0.0,0.0,48,20,ASYMMETRY +21 | POSTURAL SHIFT
03:27:58.470,1.23,-9.83,20.43,0.0,0.0,53,20,ASYMMETRY +20 | POSTURAL SHIFT
03:27:58.493,1.23,-9.05,20.63,0.0,0.0,53,20,ASYMMETRY +20 | POSTURAL SHIFT
03:27:58.509,1.23,-8.46,20.78,0.0,0.0,53,20,ASYMMETRY +20 | POSTURAL SHIFT
03:27:58.527,1.23,-8.26,20.78,0.0,0.0,53,24,ASYMMETRY +20 | POSTURAL SHIFT
03:27:58.600,1.23,-8.44,20.74,0.0,0.0,53,24,ASYMMETRY +20
03:27:58.617,1.23,-8.57,20.71,0.0,0.0,53,24,ASYMMETRY +20
03:27:58.659,1.23,-7.23,20.83,0.0,0.0,53,24,ASYMMETRY +20
03:27:58.677,1.23,-6.22,20.92,0.0,0.0,53,24,ASYMMETRY +20
03:27:58.717,1.23,-5.17,21.35,0.0,0.0,53,24,ASYMMETRY +21
03:27:58.735,1.23,-4.39,21.67,0.0,0.0,53,24,ASYMMETRY +21
03:27:58.799,1.23,-2.94,21.14,0.0,0.0,53,28,ASYMMETRY +21
03:27:58.819,1.23,-1.86,20.73,0.0,0.0,53,28,ASYMMETRY +20
03:27:58.843,1.23,-0.49,19.94,0.0,0.0,53,28,ASYMMETRY +19 | EXPRESSION EVENT
03:27:58.861,1.23,0.54,19.35,0.0,0.0,53,28,ASYMMETRY +19 | EXPRESSION EVENT
03:27:58.903,1.23,4.39,18.09,0.0,0.0,53,28,ASYMMETRY +18 | POSTURAL SHIFT | EXPRESSION EVENT
03:27:58.921,1.23,5.65,15.89,0.0,0.0,53,28,ASYMMETRY +15 | POSTURAL SHIFT | EXPRESSION EVENT
03:27:59.014,1.23,6.62,14.07,0.0,0.0,53,28,ASYMMETRY +14 | POSTURAL SHIFT
03:27:59.037,1.23,7.34,12.7,0.0,0.0,53,28,ASYMMETRY +12 | POSTURAL SHIFT
03:27:59.056,1.23,5.44,11.41,0.0,0.0,53,28,POSTURAL SHIFT
03:27:59.073,1.23,4.02,10.44,0.0,0.0,53,28,POSTURAL SHIFT
03:27:59.127,1.23,1.37,9.16,0.0,0.0,53,28,POSTURAL SHIFT
03:27:59.150,1.23,-0.61,8.19,0.0,0.0,53,28,POSTURAL SHIFT
03:27:59.177,1.23,-4.14,8.74,0.0,0.0,53,28,POSTURAL SHIFT
03:27:59.194,1.23,-6.77,9.14,0.0,0.0,53,28,
03:27:59.266,1.23,-7.65,8.24,0.0,0.0,53,28,
03:27:59.286,1.23,-8.3,7.56,0.0,0.0,53,28,
03:27:59.308,1.23,-8.27,6.96,0.0,0.0,53,28,
03:27:59.326,1.23,-8.05,7.33,0.0,0.0,53,28,
03:27:59.407,1.23,-7.7,7.66,0.0,0.0,53,28,
03:27:59.426,1.23,-7.44,7.91,0.0,0.0,53,28,
03:27:59.454,1.23,-8.2,7.39,0.0,0.0,53,28,
03:27:59.473,1.23,-5.52,6.56,0.0,0.0,53,28,
03:27:59.525,1.23,-2.22,5.84,0.0,0.0,96,28,TACHYCARDIA 96bpm
03:27:59.543,1.23,0.26,5.31,0.0,0.0,96,28,TACHYCARDIA 96bpm
03:27:59.573,1.23,1.64,4.3,0.0,0.0,96,28,TACHYCARDIA 96bpm
03:27:59.592,1.23,2.67,3.54,0.0,0.0,96,28,TACHYCARDIA 96bpm
03:27:59.661,1.23,3.88,2.82,0.0,0.0,96,28,TACHYCARDIA 96bpm
03:27:59.685,1.23,4.79,2.28,0.0,0.0,96,28,TACHYCARDIA 96bpm
03:27:59.708,1.23,3.81,1.69,0.0,0.0,96,28,TACHYCARDIA 96bpm
03:27:59.726,1.23,2.52,1.44,0.0,0.0,96,28,TACHYCARDIA 96bpm
03:27:59.805,1.23,1.07,1.26,0.0,0.0,96,28,TACHYCARDIA 96bpm
03:27:59.825,1.23,-0.02,1.14,0.0,0.0,96,28,TACHYCARDIA 96bpm
03:27:59.852,1.23,-0.81,1.95,0.0,0.0,96,28,TACHYCARDIA 96bpm
03:27:59.871,1.23,-1.4,2.56,0.0,0.0,96,28,TACHYCARDIA 96bpm
03:27:59.932,1.23,-0.64,3.09,0.0,0.0,96,28,TACHYCARDIA 96bpm
03:27:59.953,1.23,-0.08,3.49,0.0,0.0,96,28,TACHYCARDIA 96bpm
03:27:59.975,1.23,-0.56,3.28,0.0,0.0,96,28,TACHYCARDIA 96bpm
03:27:59.992,1.23,-0.92,3.13,0.0,0.0,96,28,TACHYCARDIA 96bpm
03:28:00.037,1.23,-1.43,2.74,0.0,0.0,96,28,TACHYCARDIA 96bpm
03:28:00.055,1.23,-1.82,2.45,0.0,0.0,96,24,TACHYCARDIA 96bpm
03:28:00.129,1.23,-3.61,2.41,0.0,0.0,96,24,TACHYCARDIA 96bpm
03:28:00.149,1.23,-4.95,2.38,0.0,0.0,96,24,TACHYCARDIA 96bpm
03:28:00.181,1.23,-6.57,2.65,0.0,0.0,96,24,TACHYCARDIA 96bpm
03:28:00.201,1.23,-8.24,3.32,0.0,0.0,96,24,TACHYCARDIA 96bpm
03:28:00.278,1.23,-9.78,3.72,0.0,0.0,96,24,TACHYCARDIA 96bpm
03:28:00.298,1.23,-10.93,4.02,0.0,0.0,96,24,TACHYCARDIA 96bpm
03:28:00.320,1.23,-11.4,3.94,0.0,0.0,96,24,TACHYCARDIA 96bpm
03:28:00.338,1.23,-11.13,3.54,0.0,0.0,96,24,TACHYCARDIA 96bpm
03:28:00.372,1.23,-10.74,3.15,0.0,0.0,96,24,TACHYCARDIA 96bpm
03:28:00.390,1.23,-9.1,3.08,0.0,0.0,96,24,TACHYCARDIA 96bpm
03:28:00.463,1.23,-7.48,3.15,0.0,0.0,96,24,TACHYCARDIA 96bpm
